402537,;2453
11533,;2039
11533,;236609
2457,;254678,;75160
2457,;254678,;78393
2457,;254678,;267967
262530,;217638
19302,;29692
39941,;316689
5069,;893
415462,;80348
130351,;143373
39941,;202611
263866,;283273
263694,;142146
22121,;198593
105156,;254329
18105,;155576
18105,;18081
18105,;217851
88565,;242288
194019,;36201
445318,;413045
255087,;1528
51154,;186360
121205,;457741
128280,;260152
376840,;463052
1538,;285466
487452,;227027
121205,;438416
121205,;216664
227034,;227030
227034,;128278,;108401
128277,;108401
432490,;108401
154176,;133274
121205,;154177
121205,;1479
204451,;142020
121205,;415970
528551,;483092
137550,;137553
220352,;135700
376204,;6145
283395,;283397
375374,;229802
375374,;177302
301935,;161442
27637,;140842
175800,;95704
75699,;89760
300912,;32540
96283,;100892
96283,;81680
96283,;199220
157620,;571684
25789,;47596
242003,;242005
181365,;82972
51293,;13706
96283,;6209
111300,;158668
110820,;338129,;137357
83912,;428376
4097,;39655,;290832
110820,;162420
51293,;74585
51293,;27935
51293,;304689
324371,;576392
51293,;97242
30203,;163985
56022,;298769
51293,;342024
370302,;50433
110820,;111409
27757,;6209
96283,;192699
75691,;48188
75691,;55904
75691,;163998
96283,;241872
51312,;98265
272670,;9019
51293,;27815
110820,;190175
110820,;61495
247567,;115368
57518,;171842
51293,;286564
51293,;294283
96283,;84681,;334055
96283,;69722
229864,;154356
51293,;89359
229864,;7646
70030,;103905
70030,;50986
42,;50109
51293,;207673
51312,;468031
56022,;311418
8191,;349098
51293,;111453
56022,;113787
51293,;263218
51293,;368994
272670,;39137
56022,;519445
56022,;469100
272670,;206225
51293,;19723
51293,;461994
272670,;478263
272670,;113787
51293,;166284
272670,;228170
163975,;61820
56022,;228170
51293,;180795
51293,;148881
96283,;17810
51293,;394376
144950,;98217
49039,;84700
51293,;156662
242228,;301169
242228,;116655
96283,;236472
96283,;84681,;47596
40761,;355019
333611,;48170
272670,;56195
75699,;89760
51293,;49132
96283,;84681,;84682
51293,;491523
153775,;273745
153775,;210267
45355,;50099
2396,;333399
25721,;225954
175177,;57919
395995,;358995
51293,;268180
272670,;72731
84726,;117269
84726,;12330
18458,;91582
49039,;10280
84726,;197207
51293,;31247
90882,;245530
96283,;84681,;48129
246146,;448160
51293,;165700
437697,;255773
51293,;31574
278952,;222763
164368,;164334
51293,;206802
51293,;297713
51293,;78073
51293,;452985
75691,;142882
83253,;48102
96283,;554339
47364,;465998
72145,;113026
142223,;142201
75691,;55315
7899,;137575
75691,;7775
2199,;27945
51293,;276732
133948,;72639
271938,;61610
1501,;44628
526614,;38256
291701,;423461
96283,;84681,;84748
51293,;246972
48139,;254609
75691,;75679
51293,;400046
